0:0:0:0:0:0:0:1 - - [23/Apr/2019:12:26:23 +0200] "GET /Projet_jee/images/t-shirt.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2019:12:26:23 +0200] "GET /Projet_jee/images/LOreal-Spray-Protection-Solaire.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2019:12:26:23 +0200] "GET /Projet_jee/images/vichy.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2019:12:26:23 +0200] "GET /favicon.ico HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [23/Apr/2019:12:26:29 +0200] "GET /Projet_jee/accueil?goTo=checkProduct&id=2 HTTP/1.1" 200 3958
0:0:0:0:0:0:0:1 - - [23/Apr/2019:12:26:30 +0200] "GET /Projet_jee/inc/article.css HTTP/1.1" 200 2111
0:0:0:0:0:0:0:1 - - [23/Apr/2019:12:26:42 +0200] "GET /Projet_jee/accueil?goTo=accueil HTTP/1.1" 200 45211
0:0:0:0:0:0:0:1 - - [23/Apr/2019:12:27:06 +0200] "GET /Projet_jee/accueil?goTo=homefurniture HTTP/1.1" 200 6565
0:0:0:0:0:0:0:1 - - [23/Apr/2019:12:27:08 +0200] "GET /Projet_jee/accueil?goTo=clothings HTTP/1.1" 200 7662
0:0:0:0:0:0:0:1 - - [23/Apr/2019:12:27:09 +0200] "GET /Projet_jee/accueil?goTo=garden HTTP/1.1" 200 6082
0:0:0:0:0:0:0:1 - - [23/Apr/2019:12:27:10 +0200] "GET /Projet_jee/accueil?goTo=laptops HTTP/1.1" 200 6708
0:0:0:0:0:0:0:1 - - [23/Apr/2019:12:27:14 +0200] "GET /Projet_jee/accueil?goTo=connexion HTTP/1.1" 200 1392
0:0:0:0:0:0:0:1 - - [23/Apr/2019:12:27:14 +0200] "GET /Projet_jee/inc/formconnexion.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2019:12:27:20 +0200] "GET /Projet_jee/inscription HTTP/1.1" 200 1987
0:0:0:0:0:0:0:1 - - [23/Apr/2019:12:27:20 +0200] "GET /Projet_jee/inc/formInscription.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2019:12:27:44 +0200] "POST /Projet_jee/inscription HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Apr/2019:12:27:44 +0200] "GET /Projet_jee/accueil HTTP/1.1" 200 45208
0:0:0:0:0:0:0:1 - - [23/Apr/2019:12:27:53 +0200] "GET /Projet_jee/accueil?goTo=logout HTTP/1.1" 200 45211
0:0:0:0:0:0:0:1 - - [23/Apr/2019:12:28:05 +0200] "GET /Projet_jee/accueil?goTo=connexion HTTP/1.1" 200 1392
0:0:0:0:0:0:0:1 - - [23/Apr/2019:12:28:19 +0200] "POST /Projet_jee/connexion HTTP/1.1" 200 1466
0:0:0:0:0:0:0:1 - - [23/Apr/2019:12:28:31 +0200] "POST /Projet_jee/connexion HTTP/1.1" 200 1466
0:0:0:0:0:0:0:1 - - [23/Apr/2019:12:28:36 +0200] "GET /Projet_jee/inscription HTTP/1.1" 200 1987
0:0:0:0:0:0:0:1 - - [23/Apr/2019:12:29:24 +0200] "POST /Projet_jee/inscription HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Apr/2019:12:29:24 +0200] "GET /Projet_jee/accueil HTTP/1.1" 200 45211
0:0:0:0:0:0:0:1 - - [23/Apr/2019:12:29:28 +0200] "GET /Projet_jee/accueil?goTo=logout HTTP/1.1" 200 45211
0:0:0:0:0:0:0:1 - - [23/Apr/2019:12:29:29 +0200] "GET /Projet_jee/accueil?goTo=connexion HTTP/1.1" 200 1392
0:0:0:0:0:0:0:1 - - [23/Apr/2019:12:29:37 +0200] "POST /Projet_jee/connexion HTTP/1.1" 200 1468
0:0:0:0:0:0:0:1 - - [23/Apr/2019:12:30:55 +0200] "POST /Projet_jee/connexion HTTP/1.1" 200 1458
0:0:0:0:0:0:0:1 - - [23/Apr/2019:12:31:06 +0200] "POST /Projet_jee/connexion HTTP/1.1" 200 45211
0:0:0:0:0:0:0:1 - - [23/Apr/2019:12:31:16 +0200] "GET /Projet_jee/accueil?goTo=accueil&add=addtopanier HTTP/1.1" 200 45212
0:0:0:0:0:0:0:1 - - [23/Apr/2019:12:31:21 +0200] "GET /Projet_jee/accueil?goTo=accueil&add=addtopanier HTTP/1.1" 200 45212
0:0:0:0:0:0:0:1 - - [23/Apr/2019:12:31:34 +0200] "GET /Projet_jee/accueil?goTo=accueil HTTP/1.1" 200 45212
0:0:0:0:0:0:0:1 - - [23/Apr/2019:12:31:35 +0200] "GET /Projet_jee/accueil?goTo=homefurniture HTTP/1.1" 200 6566
0:0:0:0:0:0:0:1 - - [23/Apr/2019:12:31:39 +0200] "GET /Projet_jee/accueil?goTo=getproducts HTTP/1.1" 200 16406
0:0:0:0:0:0:0:1 - - [23/Apr/2019:12:31:39 +0200] "GET /Projet_jee/accueil?goTo=getproducts HTTP/1.1" 200 40189
0:0:0:0:0:0:0:1 - - [23/Apr/2019:12:31:40 +0200] "GET /Projet_jee/accueil?goTo=getproducts HTTP/1.1" 200 40189
0:0:0:0:0:0:0:1 - - [23/Apr/2019:12:31:41 +0200] "GET /Projet_jee/accueil?goTo=accueil HTTP/1.1" 200 45212
